timestamp,user_id,username,trade_id,symbol,direction,entry_price,exit_price,leverage_suggested,leverage_used,size_usd,risk_usd,sl_price,tp_price,result,pnl_pct,pnl_usd,signal_score,close_reason,opened_at,closed_at,message_id,batch_id,csv_synced
2026-06-11T17:06:06.736399+00:00,1043978719,,1043978719:276:WLD,WLD,long,0.49925,0.47640821,1.5,3.0,150.0,6.86,0.47640821,0.54493358,loss,-4.575,-6.86,8.6,stop,2026-06-11T16:45:34.042083+00:00,2026-06-11T17:06:06.736399+00:00,276,276,True
2026-06-12T05:31:33.184946+00:00,1043978719,,1043978719:295:PYTH,PYTH,long,0.038004,0.03901,0.5,2.0,100.0,13.52,0.03286704,0.04827792,win,2.647,2.65,7.88,manual,2026-06-12T01:45:47.616751+00:00,2026-06-12T05:31:33.184946+00:00,295,295,True
2026-06-12T09:50:28.645596+00:00,1043978719,,1043978719:297:ARB,ARB,long,0.08355,0.08478,1.4,3.0,150.0,7.37,0.07944644,0.09175712,win,1.472,2.21,8.0,manual,2026-06-12T05:30:40.685466+00:00,2026-06-12T09:50:28.645596+00:00,297,297,True
2026-06-12T13:13:15.334701+00:00,1043978719,,1043978719:294:XRP,XRP,long,1.1425,1.135,2.3,3.0,150.0,4.6,1.10746429,1.21257142,loss,-0.656,-0.98,7.49,manual,2026-06-12T13:12:18.425376+00:00,2026-06-12T13:13:15.334701+00:00,294,294,True
2026-06-13T03:29:05.893655+00:00,1043978719,,1043978719:327:ZEC,ZEC,short,406.62,419.4075,2.2,3.0,100.0,3.14,419.4075,381.045,loss,-3.145,-3.14,8.3,stop,2026-06-12T23:05:25.815490+00:00,2026-06-13T03:29:05.893655+00:00,327,327,True
